periode_data,triwulan,jenis_layanan,jumlah_bus,jumlah_penumpang
202406,2,Layanan BRT,834,32138016
202406,2,Layanan Angkutan Pengumpan Integrasi,625,10796152
202406,2,Layanan Angkutan Pengumpan Bus Kecil,2737,37169768
202406,2,Layanan Angkutan Pengumpan Transjabodetabek,156,3176144
202406,2,Layanan Angkutan Pengumpan Rusun,35,228678
202406,2,Layanan Angkutan Penugasan,5,4245
202406,2,Layanan Angkutan Pariwisata,12,234699
202406,2,Layanan Angkutan Transjakarta Cares,14,13237
202412,4,Layanan Bus Rapid Transit,837,38220284
202412,4,Layanan Angkutan Pengumpan Integrasi,669,12833654
202412,4,Layanan Angkutan Pengumpan Bus Kecil,2741,46379482
202412,4,Layanan Angkutan Pengumpan Transjabodetabek,172,3955703
202412,4,Layanan Angkutan Pengumpan Rusun,35,317450
202412,4,Layanan Angkutan Penugasan,13,40643
202412,4,Layanan Angkutan Pariwisata,14,219746
202412,4,Layanan Angkutan Transjakarta Cares,17,17370
202506,2,Layanan Angkutan Pengumpan Integrasi,650,12192791
202506,2,Layanan Angkutan Pengumpan Bus Kecil,2786,41405522
202506,2,Layanan Angkutan Pengumpan Transjabodetabek,237,4628719
202506,2,Layanan Angkutan Pengumpan Rusun,29,324998
202506,2,Layanan Angkutan Penugasan,8,27946
202506,2,Layanan Angkutan Pariwisata,12,210829
202506,2,Layanan Angkutan Transjakarta Cares,15,15368
202503,1,Layanan Bus Rapid Transit,853,35178694
202503,1,Layanan Angkutan Pengumpan Integrasi,670,11967029
202503,1,Layanan Angkutan Pengumpan Bus Kecil,2614,41739607
202503,1,Layanan Angkutan Pengumpan Transjabodetabek,157,3877470
202503,1,Layanan Angkutan Pengumpan Rusun,27,315030
202503,1,Layanan Angkutan Penugasan,9,14826
202503,1,Layanan Angkutan Pariwisata,13,181459
202503,1,Layanan Angkutan Transjakarta Cares,9,14326
202506,2,Layanan BRT,834,36654304
202509,3,Layanan BRT,876,40755528
202509,3,Layanan Angkutan Pengumpan Integrasi,717,13514595
202509,3,Layanan Angkutan Pengumpan Bus Kecil,2782,48040733
202509,3,Layanan Angkutan Pengumpan Transjabodetabek,273,6325259
202509,3,Layanan Angkutan Pengumpan Rusun,27,375136
202509,3,Layanan Angkutan Penugasan,10,62427
202509,3,Layanan Angkutan Pariwisata,9,103786
202509,3,Layanan Angkutan Transjakarta Cares,22,21184
202409,3,Layanan Angkutan Pengumpan Integrasi,659,12650391
202409,3,Layanan Angkutan Pengumpan Bus Kecil,2706,44331656
202409,3,Layanan Angkutan Pengumpan Transjabodetabek,174,3767237
202409,3,Layanan Angkutan Pengumpan Rusun,33,300434
202409,3,Layanan Angkutan Penugasan,10,21186
202409,3,Layanan Angkutan Pariwisata,14,230137
202409,3,Layanan Angkutan Transjakarta Cares,18,17289
202409,3,Layanan BRT,826,36922651
202312,4,Layanan BRT,781,119398392
202312,4,Layanan Angkutan Pengumpan Integrasi,594,37477739
202312,4,Layanan Angkutan Pengumpan Bus Kecil,2695,112379110
202312,4,Layanan Angkutan Pengumpan Transjabodetabek,158,8737250
202312,4,Layanan Angkutan Pengumpan Rusun,31,779419
202312,4,Layanan Angkutan Penugasan,6,172745
202312,4,Layanan Angkutan Pariwisata,12,509362
202312,4,Layanan Angkutan Transjakarta Cares,16,32613
202312,4,Layanan Angkutan Premium Royal Trans,62,862688
202403,1,Layanan BRT,813,31576988
202403,1,Layanan Angkutan Pengumpan Integrasi,618,11042240
202403,1,Layanan Angkutan Pengumpan Bus Kecil,2746,40657407
202403,1,Layanan Angkutan Pengumpan Transjabodetabek,154,2845757
202403,1,Layanan Angkutan Pengumpan Rusun,34,228606
202403,1,Layanan Angkutan Penugasan,3,20932
202403,1,Layanan Angkutan Pariwisata,12,146313
202403,1,Layanan Angkutan Transjakarta Cares,15,13793
